2025-11-19 14:24:55 | INFO | browser_fixture | Browser context iniciado.
2025-11-19 14:25:01 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 14:26:08 | INFO | browser_fixture | Browser context iniciado.
2025-11-19 14:26:10 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 14:26:29 | INFO | browser_fixture | Browser context iniciado.
2025-11-19 14:26:31 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 14:28:20 | INFO | browser_fixture | Browser context iniciado.
2025-11-19 14:28:22 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 14:36:01 | INFO | browser_fixture | Browser context iniciado (headed=False)
2025-11-19 14:36:06 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 14:36:39 | INFO | browser_fixture | Browser context iniciado (headed=False)
2025-11-19 14:36:41 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 14:38:56 | INFO | browser_fixture | Browser context iniciado (headed=True)
2025-11-19 14:38:59 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 14:39:08 | INFO | browser_fixture | Browser context iniciado (headed=True)
2025-11-19 14:39:11 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 14:39:32 | INFO | browser_fixture | Browser context iniciado (headed=True)
2025-11-19 14:39:35 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 14:39:43 | INFO | browser_fixture | Browser context iniciado (headed=True)
2025-11-19 14:39:46 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 14:42:59 | INFO | browser_fixture | Browser context iniciado (headed=True)
2025-11-19 14:43:02 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 14:43:19 | INFO | browser_fixture | Browser context iniciado (headed=True)
2025-11-19 14:43:22 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 15:01:24 | INFO | browser_fixture | Browser context iniciado (headed=True)
2025-11-19 15:01:27 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 15:03:20 | INFO | browser_fixture | Browser context iniciado (headed=True)
2025-11-19 15:03:23 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 15:04:17 | INFO | browser_fixture | Browser context iniciado (headed=True)
2025-11-19 15:04:21 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 15:09:42 | INFO | browser_fixture | Browser context iniciado (headed=True)
2025-11-19 15:09:46 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 15:10:42 | INFO | browser_fixture | Browser context iniciado (headed=True)
2025-11-19 15:10:49 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 15:12:41 | INFO | browser_fixture | Browser context iniciado (headed=True)
2025-11-19 15:12:49 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 15:15:01 | INFO | browser_fixture | Browser context iniciado (headed=True)
2025-11-19 15:15:08 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 15:16:55 | INFO | browser_fixture | Browser context iniciado (headed=True)
2025-11-19 15:17:03 | INFO | browser_fixture | Cerrando browser context…
2025-11-19 15:21:11 | INFO | browser_fixture | Browser context iniciado (headed=True)
2025-11-19 15:21:20 | INFO | browser_fixture | Cerrando browser context…
