2025-11-19 14:25:01 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 14:26:10 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 14:26:31 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 14:28:22 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 14:36:06 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 14:36:41 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 14:38:59 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 14:39:11 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 14:39:35 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 14:39:46 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 14:43:02 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 14:43:22 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 15:01:27 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 15:03:23 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 15:04:21 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 15:09:46 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 15:10:49 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 15:12:49 | INFO | conftest | Saved trace to artifacts\test_login\trace_test_login.zip
2025-11-19 15:15:08 | INFO | conftest | Saved trace to artifacts\test_login_exitoso\trace_test_login_exitoso.zip
2025-11-19 15:17:03 | INFO | conftest | Saved trace to artifacts\test_login_exitoso\trace_test_login_exitoso.zip
2025-11-19 15:21:20 | INFO | conftest | Saved trace to artifacts\test_login_exitoso\trace_test_login_exitoso.zip
